id_country;country;start_place;start_day;start_month;start_h;start_min;start_seg;end_day;end_month;end_h;end_min;end_seg;user_time
1;Alemania;Teatro Pérez Galdós;28;12;13;57;46;28;12;15;21;22; 01:23:36
11;Reino Unido;Piscina Julio Navarro;6;12;18;11;54;6;12;19;35;15; 01:23:21
1;Alemania;Teatro Pérez Galdós;28;12;13;58;10;28;12;15;21;21; 01:23:11
12;Suecia;Oficina Sítycleta (elect.);1;12;12;44;36;1;12;14;7;32; 01:22:56
14;Finlandia;Plaza O'Shanahan;7;12;17;40;52;7;12;19;2;38; 01:21:46
18;Polonia;Obelisco;19;12;18;31;19;19;12;19;52;55; 01:21:36
1;Alemania;Plaza O'Shanahan;7;12;17;41;10;7;12;19;2;41; 01:21:31
11;Reino Unido;Piscina Julio Navarro;6;12;18;13;49;6;12;19;35;13; 01:21:24
1;Alemania;C.C. El Muelle;31;12;12;51;53;31;12;14;13;15; 01:21:22
5;Bulgaria;Plaza de España;9;12;12;17;29;9;12;13;38;46; 01:21:17
3;Bélgica;San Bernardo;9;12;16;4;32;9;12;17;25;12; 01:20:40
17;Suiza;Parque Santa Catalina;29;12;10;8;38;29;12;11;29;8; 01:20:30
1;Alemania;Aparcamiento Sanapú;1;12;13;51;12;1;12;15;11;41; 01:20:29
1;Alemania;C.C. El Muelle;21;12;11;29;53;21;12;12;49;43; 01:19:50
18;Polonia;San Telmo;31;12;12;53;40;31;12;14;13;12; 01:19:32
18;Polonia;San Telmo;31;12;12;54;10;31;12;14;13;12; 01:19:02
13;Rumanía;C.C. El Muelle;30;12;14;18;38;30;12;15;37;10; 01:18:32
7;Eslovaquia;Torre Woermann;15;12;9;54;42;15;12;11;12;53; 01:18:11
13;Rumanía;Plaza Manuel Becerra;1;12;11;48;59;1;12;13;7;3; 01:18:04
11;Reino Unido;Parque Santa Catalina;25;12;11;25;50;25;12;12;43;1; 01:17:11
18;Polonia;Torre Woermann;13;12;12;54;38;13;12;14;11;44; 01:17:06
1;Alemania;C.C. El Muelle;7;12;17;4;55;7;12;18;21;59; 01:17:04
11;Reino Unido;Plaza de España (elect.);7;12;11;35;17;7;12;12;51;45; 01:16:28
14;Finlandia;Plaza O'Shanahan;23;12;12;56;40;23;12;14;12;57; 01:16:17
13;Rumanía;Ayuntamiento;4;12;18;47;45;4;12;20;3;59; 01:16:14
9;Países Bajos;Plazoleta de Farray;29;12;12;26;38;29;12;13;42;47; 01:16:09
15;Italia;Intermodal El Rincón;30;12;15;29;1;30;12;16;44;48; 01:15:47
1;Alemania;Plazoleta de Farray;25;12;15;16;1;25;12;16;31;20; 01:15:19
11;Reino Unido;C.C. El Muelle;21;12;15;21;41;21;12;16;36;54; 01:15:13
1;Alemania;Las Canteras - Luis Morote;16;12;16;53;50;16;12;18;8;52; 01:15:02
16;Irlanda;León y Castillo;2;12;19;12;45;2;12;20;27;32; 01:14:47
10;Francia;Las Canteras - Luis Morote;12;12;16;28;18;12;12;17;42;59; 01:14:41
13;Rumanía;Ayuntamiento;4;12;18;51;39;4;12;20;5;54; 01:14:15
1;Alemania;Gabinete Literario;25;12;12;44;58;25;12;13;58;52; 01:13:54
1;Alemania;Gabinete Literario;30;12;11;6;12;30;12;12;19;42; 01:13:30
11;Reino Unido;Parque Santa Catalina;9;12;14;43;50;9;12;15;57;3; 01:13:13
1;Alemania;Las Canteras - Luis Morote;15;12;19;1;38;15;12;20;14;44; 01:13:06
11;Reino Unido;Las Canteras - Luis Morote;1;12;18;27;52;1;12;19;39;55; 01:12:03
11;Reino Unido;Plazoleta de Farray;27;12;15;8;37;27;12;16;19;28; 01:10:51
12;Suecia;Mercado Central;20;12;15;28;47;20;12;16;39;35; 01:10:48
10;Francia;Churruca;30;12;22;28;37;30;12;23;39;22; 01:10:45
10;Francia;Teatro Pérez Galdós;27;12;22;7;50;27;12;23;18;26; 01:10:36
14;Finlandia;San Bernardo;21;12;11;31;44;21;12;12;42;19; 01:10:35
1;Alemania;Gabinete Literario;30;12;11;9;38;30;12;12;20;3; 01:10:25
1;Alemania;Plaza San Agustín;18;12;16;56;59;18;12;18;7;23; 01:10:24
9;Países Bajos;Plaza San Agustín;30;12;11;48;16;30;12;12;58;30; 01:10:14
1;Alemania;Churruca;28;12;17;38;11;28;12;18;48;13; 01:10:02
1;Alemania;San Telmo;28;12;16;54;38;28;12;18;4;35; 01:09:57
1;Alemania;San Telmo;31;12;11;54;24;31;12;13;4;2; 01:09:38
1;Alemania;Plaza del Pilar;14;12;10;32;42;14;12;11;42;8; 01:09:26
14;Finlandia;San Telmo;25;12;9;54;27;25;12;11;3;50; 01:09:23
17;Suiza;Gabinete Literario;21;12;16;41;35;21;12;17;49;47; 01:08:12
19;Rep. Checa;C.C. El Muelle;18;12;17;29;57;18;12;18;38;5; 01:08:08
1;Alemania;Parque Santa Catalina;27;12;15;17;28;27;12;16;25;32; 01:08:04
14;Finlandia;Las Canteras - Luis Morote;10;12;11;19;9;10;12;12;27;9; 01:08:00
18;Polonia;Plazoleta de Farray;23;12;11;5;53;23;12;12;13;34; 01:07:41
1;Alemania;San Telmo;11;12;12;20;47;11;12;13;28;21; 01:07:34
1;Alemania;Plaza del Pilar;1;12;16;37;30;1;12;17;44;41; 01:07:11
1;Alemania;Churruca;28;12;17;41;54;28;12;18;48;32; 01:06:38
1;Alemania;Las Canteras - Luis Morote;16;12;14;53;2;16;12;15;59;26; 01:06:24
1;Alemania;Las Canteras - Luis Morote;4;12;10;15;6;4;12;11;21;19; 01:06:13
15;Italia;Las Canteras - Luis Morote;22;12;15;24;22;22;12;16;30;33; 01:06:11
10;Francia;Castillo de la Luz;31;12;20;54;58;31;12;22;1;8; 01:06:10
18;Polonia;San Telmo;30;12;14;57;23;30;12;16;3;26; 01:06:03
11;Reino Unido;Parque Santa Catalina;18;12;10;20;36;18;12;11;26;38; 01:06:02
13;Rumanía;Intermodal El Rincón;1;12;11;58;15;1;12;13;3;56; 01:05:41
1;Alemania;Base Naval;12;12;14;18;23;12;12;15;23;45; 01:05:22
1;Alemania;Plazoleta de Farray;12;12;10;45;14;12;12;11;50;32; 01:05:18
11;Reino Unido;Plaza de España;21;12;12;14;25;21;12;13;19;29; 01:05:04
17;Suiza;Cabildo de Gran Canaria;29;12;15;11;33;29;12;16;16;25; 01:04:52
11;Reino Unido;Plazoleta de Farray;4;12;16;17;23;4;12;17;22;5; 01:04:42
11;Reino Unido;Plazoleta de Farray;4;12;16;20;45;4;12;17;25;24; 01:04:39
9;Países Bajos;Teatro Pérez Galdós;21;12;11;56;5;21;12;13;0;42; 01:04:37
10;Francia;Castillo de la Luz;31;12;20;55;2;31;12;21;59;22; 01:04:20
1;Alemania;Vermisst;31;12;16;9;37;31;12;17;13;56; 01:04:19
